id,ident,name,continent,iso_country,municipality,is_ue
4787,MPCE,Alonso Valderrama Airport,,PA,Chitré,0
4788,MPCH,Changuinola Captain Manuel Niño International Airport,,PA,Changuinola,0
4789,MPDA,Enrique Malek International Airport,,PA,David,0
4790,MPEJ,Enrique Adolfo Jimenez Airport,,PA,Colón,0
4791,MPMG,Marcos A. Gelabert International Airport,,PA,Albrook,0
4792,MPSA,Ruben Cantu Airport,,PA,Santiago,0
4793,MPTO,Tocumen International Airport,,PA,Tocumen,0
41925,MRAN,La Fortuna Arenal Airport,,CR,La Fortuna,0
4795,MRAO,Aerotortuguero Airport,,CR,Roxana,0
4796,MRBA,Buenos Aires Airport,,CR,Punta Arenas,0
4797,MRBC,Barra del Colorado Airport,,CR,Pococi,0
4798,MRCC,Coto 47 Airport,,CR,Corredores,0
4804,MRGF,Golfito Airport,,CR,Golfito,0
4805,MRGP,Guapiles Airport,,CR,Pococi,0
4806,MRLB,Daniel Oduber Quirós International Airport,,CR,Liberia,0
4807,MRLC,Los Chiles Airport,,CR,Los Chiles,0
4808,MRLM,Limón International Airport,,CR,Limón,0
4809,MRNS,Nosara Airport,,CR,Nicoya,0
4810,MROC,Juan Santamaría International Airport,,CR,San José (Alajuela),0
32160,MRPJ,Puerto Jimenez Airport,,CR,Puerto Jimenez,0
4812,MRPM,Palmar Sur Airport,,CR,Palmar Sur,0
4813,MRPV,Tobías Bolaños International Airport,,CR,San Jose,0
4814,MRQP,Quepos Managua Airport,,CR,Quepos,0
4817,MRUP,Upala Airport,,CR,Upala,0
4820,MSLP,El Salvador International Airport Saint Óscar Arnulfo Romero y Galdámez,,SV,San Salvador (San Luis Talpa),0
4821,MSSS,Ilopango International Airport,,SV,San Salvador,0
4822,MTCA,Antoine-Simon International Airport,,HT,Les Cayes,0
4823,MTCH,Cap Haitien International Airport,,HT,Cap Haitien,0
4824,MTJA,Jacmel Airport,,HT,Jacmel,0
31696,MTJE,Jérémie Airport,,HT,Carrefour Sanon,0
4825,MTPP,Toussaint Louverture International Airport,,HT,Port-au-Prince,0
32146,MTPX,Port-de-Paix Airport,,HT,Port-de-Paix,0
4826,MUBA,Gustavo Rizo Airport,,CU,Baracoa,0
4828,MUBY,Carlos Manuel de Cespedes Airport,,CU,Bayamo,0
4829,MUCA,Máximo Gómez Airport,,CU,Ciro Redondo,0
4831,MUCC,Jardines Del Rey Airport,,CU,Cayo Coco,0
4832,MUCF,Jaime Gonzalez Airport,,CU,Cienfuegos,0
4833,MUCL,Vilo Acuña International Airport,,CU,Cayo Largo del Sur,0
4834,MUCM,Ignacio Agramonte International Airport,,CU,Camaguey,0
4835,MUCU,Antonio Maceo International Airport,,CU,Santiago,0
4837,MUGM,Leeward Point Field,,CU,Guantanamo Bay Naval Station,0
4838,MUGT,Mariana Grajales Airport,,CU,Guantánamo,0
4839,MUHA,José Martí International Airport,,CU,Havana,0
4840,MUHG,Frank Pais International Airport,,CU,Holguin,0
4841,MUKW,Kawama Airport,,CU,Santa Marta,0
4846,MUMO,Orestes Acosta Airport,,CU,Moa,0
4847,MUMZ,Sierra Maestra International Airport,,CU,Manzanillo,0
4848,MUNB,San Nicolás de Bari Airport,,CU,San Nicolás de Bari,0
4849,MUNG,Rafael Cabrera Airport,,CU,Nueva Gerona,0
4851,MUPB,Playa Baracoa Airport,,CU,Havana,0
4854,MUSC,Abel Santamaria International Airport,,CU,Santa Clara,0
32336,MUSJ,San Julián Air Base,,CU,Sandino,0
4856,MUSN,Siguanea Airport,,CU,Isla de la Juventud,0
4858,MUTD,Alberto Delgado Airport,,CU,Trinidad,0
4859,MUVR,Juan Gualberto Gomez International Airport,,CU,Matanzas,0
4860,MUVT,Hermanos Ameijeiras Airport,,CU,Las Tunas,0
4861,MWCB,Charles Kirkconnell International Airport,,KY,West End,0
31977,MWCL,Edward Bodden Little Cayman Airfield,,KY,Blossom Village,0
4862,MWCR,Owen Roberts International Airport,,KY,George Town,0
4924,MYAB,Clarence A. Bain Airport,,BS,Mangrove Cay,0
4925,MYAF,Andros Town Airport,,BS,Andros Town,0
4926,MYAK,Congo Town Airport,,BS,Andros,0
4927,MYAM,Leonard M. Thompson International Airport,,BS,Marsh Harbour,0
4928,MYAN,San Andros Airport,,BS,Andros Island,0
4929,MYAP,Spring Point Airport,,BS,Spring Point,0
4931,MYAT,Treasure Cay Airport,,BS,Treasure Cay,0
4933,MYBC,Chub Cay Airport,,BS,Chub Cay,0
4934,MYBG,Great Harbour Cay Airport,,BS,Bullocks Harbour,0
4935,MYBS,South Bimini Airport,,BS,South Bimini,0
4936,MYCA,Arthur's Town Airport,,BS,Arthur's Town,0
4937,MYCB,New Bight Airport,,BS,Cat Island,0
4938,MYCI,Colonel Hill Airport,,BS,Colonel Hill,0
4939,MYEF,Exuma International Airport,,BS,Moss Town,0
4941,MYEH,North Eleuthera Airport,,BS,North Eleuthera,0
4942,MYEM,Governor's Harbour Airport,,BS,Governor's Harbour,0
4943,MYEN,Normans Cay Airport,,BS,Normans Cay,0
4944,MYER,Rock Sound International Airport,,BS,Rock Sound,0
4945,MYES,Staniel Cay Airport,,BS,Staniel Cay,0
4946,MYGF,Grand Bahama International Airport,,BS,Freeport,0
4947,MYIG,Inagua Airport,,BS,Matthew Town,0
4948,MYLD,Deadman's Cay Airport,,BS,Deadman's Cay,0
326433,MYLR,Hard Bargain Airport,,BS,,0
4949,MYLS,Stella Maris Airport,,BS,Stella Maris,0
4950,MYMM,Mayaguana Airport,,BS,Abraham Bay Settlement,0
4951,MYNN,Lynden Pindling International Airport,,BS,Nassau,0
4952,MYRD,Duncan Town Airport,,BS,Duncan Town,0
4954,MYSM,San Salvador International Airport,,BS,San Salvador,0
4956,MZBZ,Philip S. W. Goldson International Airport,,BZ,Belize City,0
42217,MZPL,Placencia Airport,,BZ,Placencia,0
4958,NCRG,Rarotonga International Airport,OC,CK,Avarua,0
4959,NFFN,Nadi International Airport,OC,FJ,Nadi,0
4960,NFNA,Nausori International Airport,OC,FJ,Nausori,0
4961,NFNL,Labasa Airport,OC,FJ,Labasa,0
4962,NFTF,Fua'amotu International Airport,OC,TO,Nuku'alofa,0
4963,NFTL,Lifuka Island Airport,OC,TO,Lifuka,0
4964,NFTV,Vava'u International Airport,OC,TO,Vava'u Island,0
44571,NGFU,Funafuti International Airport,OC,TV,Funafuti,0
4972,NGTA,Bonriki International Airport,OC,KI,South Tarawa,0
4973,NGTE,Tabiteuea North Airport,OC,KI,,0
4974,NIUE,Niue International Airport,OC,NU,Alofi,0
4975,NLWW,Hihifo Airport,OC,WF,Wallis Island,0
4976,NSFA,Faleolo International Airport,OC,WS,Apia,0
4978,NSTU,Pago Pago International Airport,OC,AS,Pago Pago,0
4979,NTAA,Fa'a'ā International Airport,OC,PF,Papeete,0
4980,NTAR,Rurutu Airport,OC,PF,,0
4981,NTAT,Tubuai Airport,OC,PF,,0
4983,NTGA,Anaa Airport,OC,PF,Anaa,0
4984,NTGB,Fangatau Airport,OC,PF,Fangatau,0
4985,NTGC,Tikehau Airport,OC,PF,Tuherahera,0
4986,NTGE,Reao Airport,OC,PF,Reao,0
4987,NTGF,Fakarava Airport,OC,PF,,0
4988,NTGI,Manihi Airport,OC,PF,,0
4989,NTGJ,Totegegie Airport,OC,PF,,0
4990,NTGK,Kaukura Airport,OC,PF,Raitahiti,0
4991,NTGM,Makemo Airport,OC,PF,Makemo,0
4993,NTGT,Takapoto Airport,OC,PF,,0
4994,NTGU,Arutua Airport,OC,PF,,0
4995,NTGV,Mataiva Airport,OC,PF,,0
4997,NTHE,Ahe Airport,OC,PF,Ahe Atoll,0
5000,NTKR,Takaroa Airport,OC,PF,,0
5001,NTMD,Nuku Hiva Airport,OC,PF,Nuku Hiva,0
5002,NTMN,Hiva Oa-Atuona Airport,OC,PF,Hiva Oa Island,0
5003,NTTB,Bora Bora Airport,OC,PF,Motu Mute,0
5004,NTTG,Rangiroa Airport,OC,PF,,0
5005,NTTH,Huahine-Fare Airport,OC,PF,Fare,0
5006,NTTM,Moorea Temae Airport,OC,PF,Moorea-Maiao,0
5007,NTTO,Hao Airport,OC,PF,Otepa,0
5008,NTTP,Maupiti Airport,OC,PF,,0
5009,NTTR,Raiatea Airport,OC,PF,Uturoa,0
35158,NVSQ,Gaua Island Airport,OC,VU,Gaua Island,0
5010,NVSS,Santo Pekoa International Airport,OC,VU,Luganville,0
5011,NVVV,Bauerfield International Airport,OC,VU,Port Vila,0
5012,NVVW,Whitegrass Airport,OC,VU,Tanna Island,0
32439,NWWA,Tiga Airport,OC,NC,Tiga,0
5013,NWWD,Koné Airport,OC,NC,Koné,0
5014,NWWE,Île des Pins Airport,OC,NC,Île des Pins,0
5016,NWWL,Lifou Airport,OC,NC,Lifou,0
5017,NWWM,Nouméa Magenta Airport,OC,NC,Nouméa,0
5018,NWWR,Maré Airport,OC,NC,Maré,0
5019,NWWU,Touho Airport,OC,NC,Touho,0
5020,NWWV,Ouvéa Airport,OC,NC,Ouvéa,0
5021,NWWW,La Tontouta International Airport,OC,NC,Nouméa (La Tontouta),0
5023,NZAA,Auckland International Airport,OC,NZ,Auckland,0
5024,NZAP,Taupo Airport,OC,NZ,Taupo,0
5025,NZAR,Ardmore Airport,OC,NZ,Manurewa,0
5026,NZCH,Christchurch International Airport,OC,NZ,Christchurch,0
5027,NZCI,Inia William Tuuta Memorial Airport,OC,NZ,Te One,0
5028,NZDN,Dunedin International Airport,OC,NZ,Dunedin,0
5030,NZGS,Gisborne Airport,OC,NZ,Gisborne,0
5031,NZGT,Glentanner Airport,OC,NZ,Glentanner Station,0
5032,NZHK,Hokitika Airfield,OC,NZ,,0
5033,NZHN,Hamilton International Airport,OC,NZ,Hamilton,0
5036,NZKK,Kerikeri Airport,OC,NZ,Kerikeri,0
5037,NZKT,Kaitaia Airport,OC,NZ,Awanui,0
5038,NZLX,Alexandra Aerodrome,OC,NZ,Alexandra,0
5039,NZMC,Mount Cook Airport,OC,NZ,,0
5040,NZMO,Manapouri Airport,OC,NZ,,0
5041,NZMS,Hood Airport,OC,NZ,Masterton,0
5042,NZNP,New Plymouth Airport,OC,NZ,New Plymouth,0
5043,NZNR,Hawke's Bay Airport,OC,NZ,Napier,0
5044,NZNS,Nelson Airport,OC,NZ,Nelson,0
5045,NZNV,Invercargill Airport,OC,NZ,Invercargill,0
5046,NZOH,RNZAF Base Ohakea,OC,NZ,,0
5047,NZOU,Oamaru Airport,OC,NZ,,0
5049,NZPM,Palmerston North Airport,OC,NZ,Palmerston North,0
5050,NZPP,Paraparaumu Airport,OC,NZ,,0
5051,NZQN,Queenstown Airport,OC,NZ,Queenstown,0
5052,NZRO,Rotorua Regional Airport,OC,NZ,Rotorua,0
5054,NZSP,Amundsen–Scott South Pole Station Airport,AN,AQ,Amundsen-Scott South Pole Station,0
5055,NZTG,Tauranga Airport,OC,NZ,Tauranga,0
5056,NZTU,Timaru Airport,OC,NZ,,0
5057,NZUK,Pukaki Airport,OC,NZ,Twitzel,0
5058,NZWB,Woodbourne Airport,OC,NZ,Blenheim,0
5059,NZWD,Williams Field Skiway,AN,AQ,McMurdo Station,0
5060,NZWF,Wanaka Airport,OC,NZ,Wanaka,0
5062,NZWK,Whakatāne Airport,OC,NZ,Whakatāne,0
5063,NZWN,Wellington International Airport,OC,NZ,Wellington,0
5064,NZWO,Wairoa Airport,OC,NZ,Wairoa,0
5065,NZWP,RNZAF Base Auckland-Whenuapai,OC,NZ,,0
5066,NZWR,Whangarei Airport,OC,NZ,Whangarei,0
5067,NZWS,Westport Airport,OC,NZ,Westport,0
5068,NZWU,Wanganui Airport,OC,NZ,Wanganui,0
5069,OAHR,Herat - Khwaja Abdullah Ansari International Airport,AS,AF,Guzara,0
5070,OAIX,Bagram Airfield,AS,AF,Bagram,0
5071,OAJL,Jalalabad Airport,AS,AF,Jalalabad,0
5072,OAKB,Kabul International Airport,AS,AF,Kabul,0
5073,OAKN,Ahmad Shah Baba International Airport,AS,AF,Kandahar,0
332240,OAKS,Khost International Airport,AS,AF,Khost,0
5074,OAMN,Maymana Zahiraddin Faryabi Airport,AS,AF,Maymana,0
5075,OAMS,Mazar-i-Sharif International Airport,AS,AF,Mazar-i-Sharif,0
5078,OAUZ,Kunduz Airport,AS,AF,Kunduz,0
5079,OBBI,Bahrain International Airport,AS,BH,Manama,0
5080,OBBS,Sheik Isa Air Base,AS,BH,Sitrah,0
5082,OEAB,Abha International Airport,AS,SA,Abha,0
5083,OEAH,Al-Ahsa International Airport,AS,SA,Hofuf,0
300611,OEAO,Al-Ula International Airport,AS,SA,Al-Ula,0
5084,OEBA,King Saud Bin Abdulaziz (Al Baha) Airport,AS,SA,Al-Baha,0
5085,OEBH,Bisha Airport,AS,SA,Bisha,0
5087,OEDF,King Fahd International Airport,AS,SA,Ad Dammam,0
5088,OEDM,Dawadmi Domestic Airport,AS,SA,Dawadmi,0
5089,OEDR,King Abdulaziz Air Base,AS,SA,Dhahran,0
5090,OEGN,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,AS,SA,Jizan,0
5091,OEGS,Prince Naif bin Abdulaziz International Airport,AS,SA,Qassim,0
5092,OEGT,Gurayat Domestic Airport,AS,SA,Gurayat,0
5093,OEHL,Hail International Airport,AS,SA,Hail,0
5095,OEJB,Jubail Airport,AS,SA,Jubail,0
5096,OEJF,King Faisal Naval Base,AS,SA,Jeddah,0
